      program_name  constant_write  var_write  read
451   program_9812             308          7     2
452   program_2667               0          0     0
453   program_7168               0          0     0
454   program_4367               0          0     0
455   program_2349              19          0     0
456   program_2331               0          0     0
457   program_4805               7          0     0
458   program_4657               0          0     0
459   program_8755              37          2     0
460   program_8471              54          2     1
461   program_3336               0          0     0
462   program_4513               0          0     0
463   program_8887               0          0     0
464   program_7877               0          0     0
465   program_5304              11          0     0
466   program_9171               0          0     0
467   program_3132               5          0     0
468   program_2797               0          0     0
469   program_5700              13          0     0
470   program_4304               0          0     0
471   program_6228               0          0     0
472   program_2555               0          0     0
473   program_5686               0          0     0
474   program_5813              39          6     1
475   program_2676              13          1     1
476   program_4828               0          0     0
477   program_3021               4          0     0
478   program_9197              25          3     2
479   program_4500              29         12     2
480   program_2255              23          6     1
481   program_6154              34         22    10
482   program_9136               0          0     0
483   program_2752               0          0     0
484   program_9721               0          0     0
485   program_6231               0          0     0
486   program_5320              35         11    12
487   program_4992               0          0     0
488   program_8527             366         26    20
489   program_2641               0          0     0
490   program_3820               0          0     0
491   program_5833              15          0     0
492   program_7045               0          0     0
493   program_1575              17          2     1
494   program_5953              12          0     0
495   program_9795               0          0     0
496   program_6478               0          0     0
497   program_7665              40         63    53
498   program_6942              17          0     0
499   program_7369               0          0     0
500   program_3716               4          0     0
501   program_2104               9          2     1
502   program_5422              20          0     0
503   program_9243              10          3     0
504   program_7456             215        453     2
505   program_4763              24          0     0
506   program_2897              38          1     1
507   program_1123               0          0     0
508   program_3837               0          0     0
509   program_8645               0          0     0
510   program_3667               0          0     0
511   program_8555               0          0     0
512   program_7323              11          4     1
513   program_9250               4          0     0
514   program_9603              11         11     2
515   program_5543               0          0     0
516   program_5594               0          0     0
517   program_6160              40          0     0
518   program_6552               0          0     0
519   program_6128               0          0     0
520   program_6516             191          0     0
521   program_3480              16         18     5
522   program_3423               0          0     0
523   program_6607               0          0     0
524   program_7620               7          3     3
525   program_3230              15          4     3
526   program_5606               0          0     0
527   program_9247               6          6    24
528   program_1968              23          1     0
529   program_6183               0          0     0
530   program_1809               0          0     0
531    program_262               0          0     0
532   program_4090              24          8     1
533   program_7300              22          5     3
534   program_7629              13          4     0
535   program_2273               0          0     0
536   program_8846               0          0     0
537   program_8181              18         11     5
538   program_5506              10          2     1
539   program_1583               0          0     0
540   program_1962               0          0     0
541   program_8213               0          0     0
542   program_6418              22          2     1
543   program_6747               7          0     0
544   program_8822               0          0     0
545   program_6135              26         34     9
546   program_6302              36          2     0
547   program_6476               0          0     0
548   program_9204              16          8     1
549   program_8105              26          0     0
550   program_2910               0          0     0
551   program_2888               0          0     0
552   program_9980               0          0     0
553   program_4662               0          0     0
554   program_6891               0          0     0
555   program_7723               0          0     0
556   program_6086               0          0     0
557   program_5787              44          0     0
558   program_7948               7          2     0
559   program_9317               0          0     0
560   program_2816               0          0     0
561    program_297              45         16     9
562   program_6479               0          0     0
563    program_788               0          0     0
564   program_6339             180        194     1
565   program_4040               0          0     0
566   program_3472              65         61     7
567   program_5484              24          0     0
568   program_6171              18          4     0
569   program_4838              24          0     0
570   program_4072               0          0     0
571    program_108              19          0     0
572   program_6831               0          0     0
573   program_7265               0          0     0
574   program_4754              51         16     9
575   program_6596               0          0     0
576   program_7313               7          0     0
577   program_3484              13         23    13
578   program_3986              23          4     0
579   program_9965               0          0     0
580   program_8166               0          0     0
581   program_2325               0          0     0
582   program_7812              21          5     3
583   program_7247              30        108     0
584    program_676              24          0     0
585   program_3819               0          0     0
586   program_4028              14          4     1
587    program_914              18          0     0
588   program_3024               0          0     0
589   program_6325              39        753    16
590   program_3269              47          6     3
591   program_5125              89          0     0
592   program_8276              66         70   135
593   program_5709              69          0     0
594   program_2089              23         13     5
595    program_864              14          4     2
596   program_1459              29          0     0
597   program_6546               0          0     0
598   program_6100               0          0     0
599   program_5335               0          0     0
600   program_1659              11          3     0
601   program_6055               0          0     0
602    program_838              40          8     2
603   program_4462              39          4     0
604   program_1410               0          0     0
605   program_8926              55          0     0
606   program_7775              18          4     0
607   program_9440               0          0     0
608   program_8478              19          1     1
609   program_7865               0          0     0
610   program_6297              14          7     1
611   program_3518               0          0     0
612   program_2834              21          1     3
613   program_9930              72         24     7
614   program_9676               0          0     0
615   program_2172              17         14     4
616   program_9562               0          0     0
617   program_5044              36          0     0
618   program_3713               0          0     0
619   program_7026              67         10     2
620   program_6522               6          2     0
621   program_9831               0          0     0
622   program_4242               6          3     0
623   program_1990               0          0     0
624    program_661              90        233    13
625   program_3303               0          0     0
626   program_2495              18         14     1
627   program_3192               5          0     0
628    program_554               0          0     0
629   program_2202               9          9    23
630   program_1152               0          0     0
631   program_5548               0          0     0
632   program_2000               0          0     0
633   program_3500              23          0     0
634   program_6945               0          0     0
635   program_7761              17          0     0
636   program_1007               0          0     0
637    program_896              29          3     0
638   program_7290               0          0     0
639   program_4093               6          0     0
640   program_8376               6          0     0
641   program_2251               0          0     0
642   program_6496              13          8     0
643   program_2875               0          0     0
644   program_7362               7          1     0
645   program_2588               7          1     1
646   program_5835               0          0     0
647    program_888               6          0     0
648   program_9415               0          0     0
649   program_8553              52          8     3
650   program_6790              26          2     3
651   program_7805              39         89     3
652     program_10              47          4     1
653   program_5385              27         42    40
654   program_5579               0          0     0
655   program_3534             134        137     9
656   program_5766               0          0     0
657   program_8451              35         15     2
658   program_9275               0          0     0
659    program_407              23         12     0
660   program_6488               0          0     0
661   program_9502               0          0     0
662   program_9347               0          0     0
663   program_4519              14          0     0
664   program_4006              26         10     0
665   program_9744               0          0     0
666   program_8035              32         22     9
667   program_1100               8          0     0
668   program_4792               0          0     0
669   program_2678               0          0     0
670   program_3395             161          0     0
671   program_2097              59        394     4
672   program_4674               4          0     0
673   program_8189               0          0     0
674   program_7266              33          7     2
675   program_1522               0          0     0
676   program_6562              69         36    16
677   program_2823              19          5     1
678   program_7405               0          0     0
679   program_3556               0          0     0
680   program_4097               0          0     0
681   program_7786               0          0     0
682   program_2274               0          0     0
683    program_342               0          0     0
684    program_237              22          0     0
685   program_3348               0          0     0
686   program_1676               9          1     1
687   program_2242               0          0     0
688   program_2781               7          0     0
689   program_6300              21          3     0
690   program_4989               0          0     0
691   program_2977               0          0     0
692    program_633               5          0     0
693   program_1606              21          1     5
694   program_9894               0          0     0
695   program_1893              23          1     0
696    program_780              20          0     0
697   program_6278               0          0     0
698    program_264               0          0     0
699   program_2125              16          0     0
700   program_5368               0          0     0
701   program_7173               0          0     0
702   program_1879               0          0     0
703   program_8054              70          2     1
704   program_6148               0          0     0
705   program_3508              14         12     9
706   program_8744              14         10     5
707   program_8008               0          0     0
708   program_4447               0          0     0
709   program_5160              75          0     0
710   program_1945              28          2     0
711   program_6984               0          0     0
712   program_4050             136        214     1
713   program_9874               0          0     0
714   program_9401               5        178     1
715   program_3577               0          0     0
716   program_4453               0          0     0
717   program_1004               0          0     0
718   program_9266               0          0     0
719   program_8283               0          0     0
720    program_979              39          2     1
721    program_732               0          0     0
722   program_8695               0          0     0
723   program_3958              93         32     3
724   program_9794               0          0     0
725   program_8430              81          0     0
726   program_2314              10          2     0
727   program_4669               0          0     0
728   program_3814               0          0     0
729   program_7490              11          6    11
730   program_1692              17          7    91
731    program_931               0          0     0
732   program_3805               9          0     0
733   program_2076               0          0     0
734   program_8068              26          0     0
735   program_6625              31          0     0
736   program_4004              28          8     4
737   program_5990              98         49    23
738   program_9052               0          0     0
739   program_3644              20         13     4
740   program_4124               8          0     0
741   program_4886               0          0     0
742   program_9125               0          0     0
743   program_6383               0          0     0
744   program_7061              36          5     4
745   program_7372               6          0     0
746   program_2597              26          0     0
747   program_3044               0          0     0
748    program_940               6          6     6
749   program_2248              17          0     0
750    program_626              11          2     0
751   program_8643              27          6    11
752   program_6677               0          0     0
753   program_2215               4          0     0
754   program_7536              39          8    12
755   program_6492              10          3     0
756   program_2004              23          0     0
757   program_9760               0          0     0
758   program_9856              51         32     8
759    program_586              23          6    16
760   program_8091               0          0     0
761   program_3897              27          0     0
762   program_3549               0          0     0
763   program_9854               4          0     0
764   program_2319               0          0     0
765   program_1560               0          0     0
766   program_3512               0          0     0
767   program_1191               0          0     0
768   program_4450               0          0     0
769   program_4325               9          5    10
770   program_6075               0          0     0
771   program_3723               0          0     0
772   program_4757               0          0     0
773    program_765               0          0     0
774   program_1720              51          0     0
775    program_133              16          1     0
776   program_4870               5          0     0
777   program_6843               0          0     0
778     program_60               0          0     0
779   program_6203              24          0     0
780   program_4297               0          0     0
781    program_667              93         32    33
782   program_5046              18          0     0
783   program_3005              18         10     5
784   program_9426               0          0     0
785   program_6550               0          0     0
786   program_1715              36         34    29
787   program_8207              27          2     1
788   program_2348               0          0     0
789   program_8622               0          0     0
790   program_2840              50          4     0
791   program_3835              34         18   346
792    program_492               0          0     0
793   program_1759               0          0     0
794   program_4853              29         11     1
795   program_1611               0          0     0
