      program_name  constant_write  var_write  read
341   program_7498              37          3     0
342   program_2423              12          2     4
343   program_3742               0          0     0
344   program_8614              22         18     6
345    program_632             440        112     0
346   program_2814              20         12     0
347   program_8483               0          0     0
348    program_557              62         51    21
349   program_6869              10          5     1
350   program_3139               0          0     0
351   program_3745              48         21    10
352   program_4370              25          0     0
353   program_7955               0          0     0
354   program_9983               0          0     0
355   program_8247              39          0     0
356   program_2435               9          8     1
357   program_7594               0          0     0
358   program_6415               0          0     0
359   program_5672               0          0     0
360   program_3697              18         14     4
361    program_435              32         35    21
362   program_4115               0          0     0
363   program_4319               0          0     0
364   program_1034              28         15    13
365   program_5752               0          0     0
366   program_1448              41         26     8
367   program_7317               6          0     0
368   program_5863              14          4     3
369   program_2650              16         22     8
370   program_9093              22         14     2
371   program_2696              19          4     2
372   program_4284              32         18     4
373    program_823               0          0     0
374   program_6308              41         14     7
375   program_7765              15          0     0
376   program_1645              33         45     8
377   program_2259              37          1     1
378   program_8652               0          0     0
379   program_8935               0          0     0
380   program_2889              20         19     6
381   program_6984               0          0     0
382   program_9382               0          0     0
383   program_7006               0          0     0
384   program_3505               0          0     0
385   program_9469              15          2     1
386   program_9250              10          0     0
387   program_7185              27          2     0
388   program_8771               0          0     0
389   program_8680               0          0     0
390   program_2603               0          0     0
391   program_8261               0          0     0
392   program_4448              11          3     1
393   program_7079               0          0     0
394   program_7400               9          6     0
395   program_9493              13          0     0
396   program_7947              62        269     3
397    program_749              33         17     4
398   program_9234               0          0     0
399   program_9162               0          0     0
400   program_2262              30         27     9
401   program_3832               0          0     0
402   program_6466              37         15     2
403    program_921              33         25     2
404   program_4127               0          0     0
405   program_8688               0          0     0
406   program_9348              37          0     0
407   program_1066               0          0     0
408   program_6183               0          0     0
409   program_3416               0          0     0
410   program_5692              14         18     7
411    program_298              11         19     1
412   program_2141               0          0     0
413   program_8914              51         14     0
414    program_742               0          0     0
415   program_4123               0          0     0
416   program_5778              43         11     3
417   program_3877              19          2     0
418   program_2380              10          0     0
419   program_4076               0          0     0
420   program_6514               0          0     0
421   program_9726               0          0     0
422   program_2752               0          0     0
423   program_8707               0          0     0
424   program_4797              22         11     7
425   program_3642              18          2     4
426   program_4766               0          0     0
427   program_7034              47         30     4
428   program_3031               0          0     0
429   program_3171               0          0     0
430   program_7072              13         47     4
431   program_3315              20          3     0
432   program_5768               0          0     0
433    program_349               0          0     0
434   program_7035              37        147     4
435    program_478               9          0     0
436   program_3007               0          0     0
437    program_963               0          0     0
438    program_357               0          0     0
439   program_4926               0          0     0
440   program_6915              29         13     4
441   program_3380               0          0     0
442   program_3861              16          4     0
443   program_6521               0          0     0
444   program_4420               0          0     0
445   program_4948              18          6     0
446   program_6014               0          0     0
447   program_2463              60          1     1
448   program_7169              18          8     0
449   program_5608               0          0     0
450   program_7890               4          6     6
451   program_5575              14          6     1
452   program_4901               0          0     0
453   program_4967              34          2     1
454   program_5869              33          5     2
455   program_9897               0          0     0
456   program_5269               0          0     0
457   program_5271               0          0     0
458   program_2064              12          5     3
459   program_9760               0          0     0
460   program_5527              11          3     3
461   program_2139               0          0     0
462   program_3726               0          0     0
463   program_8958               0          0     0
464   program_5870              17         16    14
465   program_4338              12         19     7
466   program_2594              23          8     6
467   program_6139               0          0     0
468   program_6689              20          3     4
469   program_2319               0          0     0
470   program_8501               0          0     0
471   program_5109              18         10     2
472   program_2697              74         73    13
473   program_9090              34          6     2
474   program_6912               0          0     0
475   program_8668               0          0     0
476   program_5362              62         36     7
477   program_1932               0          0     0
478   program_5793               8          7     3
479   program_2040               7          1     2
480   program_8884               0          0     0
481    program_895               0          0     0
482   program_7540               0          0     0
483   program_2903              27          0     0
484   program_1287              22         12    10
485   program_1315               0          0     0
486   program_6941              27          4     2
487   program_7604              41        133     1
488    program_613               0          0     0
489   program_6676               0          0     0
490   program_2221              32          0     0
491    program_885               0          0     0
492   program_6120              32          2     1
493   program_8613               0          0     0
494   program_6221               0          0     0
495   program_9131               0          0     0
496   program_2683              16         12     6
497   program_1322               0          0     0
498    program_703               0          0     0
499   program_2439              13          1     2
500    program_929              77         50    27
501   program_2196              13          0     0
502   program_5950               0          0     0
503   program_2049               0          0     0
504   program_3682              39          0     0
505   program_1939              53         65     9
506   program_1141              30         11     0
507    program_271              19          7     1
508   program_8850              90          4     1
509   program_2339              25         18     5
510   program_8837               0          0     0
511   program_5759               0          0     0
512   program_6513               0          0     0
513   program_8687               0          0     0
514   program_7272              40         31    20
515   program_2445              26          0     0
516   program_2033              86          2     2
517   program_8375              24          4     5
518   program_1021              19         49     2
519   program_9810              18          6    12
520   program_2507              10          0     0
521   program_5834              10          0     0
522   program_3973              38         23    12
523   program_8353               0          0     0
524   program_2455               0          0     0
525   program_7994             193         25     4
526   program_8918              17          8     1
527   program_8756               0          0     0
528   program_9963              12          0     2
529   program_4212               0          0     0
530   program_4218               0          0     0
531   program_6778               0          0     0
532   program_8381             123          0     0
533   program_9051              27         15     1
534   program_6219              32         13     2
535   program_3433               0          0     0
536   program_7782               9          9     4
537   program_4823              48         20    10
538   program_8883              21          8     9
539   program_7290               0          0     0
540    program_726               0          0     0
541   program_4486               6          4     0
542   program_1510               0          0     0
543   program_6424               0          0     0
544   program_1070               0          0     0
