,GCC_O0,GCC_O1,GCC_O2,GCC_O3,LLVM_O0,LLVM_O1,LLVM_O2,LLVM_O3
8646,34,12,12,12,31,12,12,12
8647,35,18,17,17,23,9,9,9
8648,42,25,24,24,32,16,16,16
8649,36,22,19,18,35,18,18,18
8650,41,11,10,10,32,10,10,10
8651,44,13,12,12,42,11,11,11
8652,82,37,36,36,74,13,11,11
8653,20,15,15,15,19,13,11,11
8654,48,17,17,17,38,12,11,11
8655,26,10,10,10,19,9,9,9
8656,67,10,10,10,58,9,9,9
8657,53,24,22,22,40,11,11,11
8658,77,37,31,31,64,17,16,16
8659,44,28,26,25,39,19,12,11
8660,57,22,22,22,54,16,15,15
8661,32,10,9,9,19,9,9,9
8662,47,22,20,20,35,12,12,12
8663,32,10,10,10,26,9,9,9
8664,33,21,20,20,30,12,12,12
8665,43,31,27,27,40,21,17,17
8666,23,17,17,16,20,12,11,11
8667,40,26,23,23,32,17,17,17
8668,41,16,15,15,40,12,12,12
8669,67,13,9,9,55,9,9,9
8670,37,31,27,27,31,24,20,20
8671,33,25,11,11,32,10,10,10
8672,44,33,30,29,42,15,15,15
8673,34,29,26,26,33,10,10,10
8674,37,28,23,22,33,16,10,10
8675,71,12,12,10,47,9,9,9
8676,36,15,15,15,28,9,9,9
8677,44,19,9,9,41,9,9,9
8678,38,24,18,18,28,11,11,11
8679,38,23,22,22,35,13,13,13
8680,51,11,10,10,31,10,10,10
8681,34,21,19,19,26,12,10,10
8682,29,20,19,19,28,10,10,10
8683,35,13,13,13,26,13,11,10
8684,37,25,16,16,31,14,14,14
8685,36,10,10,10,35,10,10,10
8686,56,37,32,13,54,12,12,12
8687,26,12,11,11,14,9,9,9
8688,28,10,9,9,23,9,9,9
8689,57,34,32,32,44,21,15,15
8690,27,16,14,14,24,11,11,11
8691,40,28,25,25,38,20,17,17
8692,52,36,34,34,51,17,12,12
8693,36,17,14,14,29,12,12,12
8694,52,42,41,41,49,37,31,31
8695,40,29,26,26,37,19,17,17
8696,22,13,13,13,17,9,9,9
8697,57,41,34,34,54,18,17,17
8698,36,27,24,24,29,17,15,15
8699,24,18,18,17,21,9,9,9
8700,19,11,10,10,14,10,10,10
8701,29,12,11,11,23,10,10,10
8702,26,10,9,9,16,9,9,9
8703,21,16,16,16,17,11,11,11
8704,25,17,17,17,24,12,11,11
8705,52,11,11,11,51,10,10,10
8706,65,19,10,10,47,9,9,9
8707,45,12,11,11,44,11,11,11
8708,26,13,12,12,25,11,11,11
8709,25,14,9,9,22,9,9,9
8710,69,44,44,44,67,15,15,15
8711,43,13,13,13,42,10,10,10
8712,76,16,16,10,69,20,10,12
8713,21,11,10,10,18,10,10,10
8714,39,18,9,9,36,9,9,9
8715,44,29,29,29,43,18,12,12
8716,56,11,11,11,54,11,11,11
8717,26,17,14,13,23,9,9,9
8718,51,26,26,26,47,21,20,20
8719,48,23,12,11,46,10,10,10
8720,71,10,9,9,34,9,9,9
8721,62,19,18,15,40,12,9,9
8722,59,32,28,28,49,18,18,18
8723,46,28,27,27,34,15,15,15
8724,62,44,39,39,54,28,28,28
8725,35,30,21,21,34,12,10,10
8726,33,14,14,14,27,9,9,9
8727,24,15,15,15,21,9,9,9
8728,44,14,14,11,41,10,10,10
8729,36,19,19,19,33,17,16,16
8730,43,30,28,28,35,15,15,15
8731,33,18,18,18,30,13,12,12
8732,65,23,19,19,50,10,10,10
8733,36,24,23,23,25,15,15,15
8734,57,10,10,10,37,10,10,10
8735,27,13,12,11,22,10,10,10
8736,88,17,15,15,58,15,13,13
8737,56,11,10,10,35,10,10,10
8738,35,18,18,18,29,16,13,13
8739,21,17,16,16,20,12,12,12
8740,25,14,13,13,23,10,10,10
8741,36,18,17,15,31,11,10,10
8742,45,26,26,26,40,9,9,9
8743,27,15,15,15,20,11,11,11
8744,37,18,18,16,26,11,9,9
8745,23,19,18,18,21,13,13,13
8746,44,19,19,19,42,17,13,13
8747,45,32,32,32,42,13,11,11
8748,59,30,27,27,48,20,18,18
8749,35,25,25,25,31,17,14,14
8750,24,15,13,13,21,12,12,12
8751,88,31,29,29,74,16,14,14
8752,20,13,13,13,17,9,9,9
8753,51,30,27,27,45,14,13,13
8754,22,13,10,10,18,10,10,10
8755,47,23,23,23,43,14,10,10
8756,28,17,16,16,25,13,13,13
8757,72,26,21,21,61,9,9,9
8758,25,17,16,16,22,9,9,9
8759,27,17,16,16,18,12,9,9
8760,25,18,18,18,22,9,9,9
8761,33,22,20,20,30,20,17,17
8762,45,35,35,35,44,27,25,25
8763,47,31,30,30,39,26,23,23
8764,30,18,9,9,26,9,9,9
8765,51,37,31,31,41,19,15,15
8766,25,18,14,14,22,17,16,16
8767,28,12,12,12,22,10,10,10
8768,43,24,22,22,34,21,20,20
8769,58,10,9,9,37,9,9,9
8770,32,23,22,21,27,14,11,11
8771,21,13,11,11,17,10,10,10
8772,17,13,13,13,16,12,12,12
8773,33,11,9,9,18,9,9,9
8774,26,20,20,20,25,10,10,10
8775,27,21,19,19,24,12,12,12
8776,37,15,15,15,33,11,11,11
8777,61,42,38,38,47,27,24,24
8778,29,18,18,17,26,14,12,12
8779,54,34,33,33,43,13,12,12
8780,36,22,9,9,31,9,9,9
8781,29,20,19,19,26,13,12,12
8782,22,15,10,10,20,10,10,10
8783,55,34,31,31,43,25,25,25
8784,33,21,21,21,20,15,15,15
8785,42,27,24,24,41,10,10,10
8786,30,17,15,15,25,11,9,9
8787,55,14,14,11,42,16,11,11
8788,49,10,10,10,30,10,10,10
8789,29,16,16,16,21,12,9,9
8790,23,10,9,9,19,9,9,9
8791,25,21,21,21,23,10,10,10
8792,43,12,12,11,39,11,11,11
8793,66,31,23,22,62,14,11,11
8794,52,10,10,10,42,10,10,10
8795,40,18,16,16,31,14,14,14
8796,21,14,14,14,20,11,11,11
8797,30,17,15,15,20,11,11,11
8798,31,14,14,14,28,9,9,9
8799,26,17,17,17,25,12,12,12
8800,29,21,20,20,28,13,13,13
8801,37,24,24,24,34,15,15,15
8802,50,30,30,30,38,25,23,23
8803,47,26,26,26,44,18,18,18
8804,34,24,22,22,26,13,13,13
8805,55,11,10,10,50,10,10,10
8806,46,28,28,27,45,22,19,19
8807,50,35,32,32,43,21,18,18
8808,30,20,20,20,28,15,15,15
8809,45,24,9,9,40,9,9,9
8810,45,27,26,26,44,11,10,10
8811,28,23,22,22,25,17,18,18
8812,37,20,19,19,34,17,17,17
8813,30,19,18,18,26,14,11,11
8814,43,12,12,12,23,11,9,9
8815,52,35,30,30,49,12,10,10
8816,60,35,33,33,58,28,26,26
8817,24,18,17,17,22,11,11,11
8818,39,28,26,26,36,19,19,19
8819,58,37,35,35,48,25,23,23
8820,41,11,11,11,34,10,10,10
8821,35,17,17,17,32,16,12,16
8822,35,18,18,18,27,15,12,12
8823,56,39,23,23,54,18,16,16
8824,39,26,24,24,38,24,21,21
8825,52,17,17,17,35,14,10,10
8826,25,19,17,17,22,10,10,10
8827,27,11,10,10,19,10,10,10
8828,22,15,14,12,19,9,9,9
8829,33,20,18,18,29,9,9,9
8830,58,33,29,29,54,29,27,27
8831,31,20,20,19,30,17,17,17
8832,30,22,20,20,29,14,12,12
8833,36,19,15,15,33,10,10,10
8834,24,16,16,15,20,10,10,10
8835,57,37,34,34,54,19,18,18
8836,35,18,12,12,28,9,9,9
8837,45,29,23,23,44,19,18,18
8838,15,13,13,13,14,10,10,10
8839,37,23,23,19,28,19,16,19
8840,37,24,24,24,28,15,13,13
8841,36,19,19,19,33,9,9,9
8842,41,31,31,31,30,18,13,13
8843,22,17,12,11,21,10,10,10
8844,57,11,11,10,45,9,9,9
8845,23,17,17,16,20,12,11,11
8846,43,17,17,17,37,12,12,12
8847,54,44,28,28,53,19,11,11
8848,68,47,45,45,57,30,29,29
8849,24,12,12,12,23,11,11,11
8850,34,28,25,25,31,16,13,13
8851,24,18,18,18,23,10,10,10
8852,43,30,28,28,37,16,16,16
8853,35,23,22,22,34,14,13,13
8854,31,23,21,21,28,12,12,12
8855,28,19,18,18,20,12,12,12
8856,55,43,38,38,54,20,17,17
8857,85,43,39,34,77,10,10,10
8858,36,32,30,30,35,23,12,12
8859,42,35,31,31,39,15,13,13
8860,21,12,12,12,20,10,10,10
8861,45,16,16,16,36,14,12,12
8862,32,21,18,17,25,14,10,10
8863,43,17,15,14,39,11,11,11
8864,24,16,13,11,21,11,11,11
8865,96,38,35,35,85,16,15,15
8866,42,12,10,10,24,10,9,9
8867,26,17,17,17,22,16,16,16
8868,59,36,34,33,45,28,16,16
8869,108,11,10,10,47,10,10,10
8870,22,15,14,14,18,9,9,9
8871,29,17,15,15,25,12,12,12
8872,42,15,12,12,34,12,10,10
8873,34,29,29,29,33,24,22,22
8874,35,20,19,18,33,17,16,16
8875,26,22,22,22,24,14,14,14
8876,44,29,25,23,43,11,11,11
8877,64,41,41,41,63,25,25,25
8878,58,30,31,31,52,22,21,21
8879,84,10,9,9,67,9,9,9
8880,21,13,9,9,18,9,9,9
8881,49,16,13,11,46,10,10,10
8882,29,16,16,16,23,16,11,10
8883,35,23,22,22,26,15,13,13
8884,25,13,13,13,14,12,12,12
8885,33,13,12,10,26,13,10,10
8886,39,12,12,10,23,11,9,10
8887,36,20,18,18,24,11,11,11
8888,21,15,10,10,19,10,10,10
8889,31,16,16,16,18,12,11,11
8890,42,13,10,10,39,10,10,10
8891,63,10,10,10,60,9,9,9
8892,31,19,19,19,28,9,9,9
8893,68,31,29,28,59,17,16,16
8894,38,10,10,10,25,9,9,9
8895,47,21,21,21,46,13,10,11
8896,49,33,32,32,46,28,23,23
8897,37,15,15,15,27,14,14,14
8898,52,35,13,13,47,11,11,11
8899,51,24,24,23,45,17,12,12
8900,25,16,16,16,24,11,10,10
8901,62,37,35,35,53,22,22,22
