      program_name  constant_write  var_write  read
347   program_8614              20         20     9
348    program_632               6         16     5
349   program_2814              19         12     0
350   program_8483               9         41     8
351    program_557              28         20     8
352   program_6869              10          5     1
353   program_3139              20        159    25
354   program_3745              54         15     7
355   program_4370              25          0     0
356   program_7955               0         91     2
357   program_9983               0        135     2
358   program_8247              39          0     0
359   program_2435              11          4     1
360   program_7594               1         39     3
361   program_6415               1          1     3
362   program_5672               6         24     6
363   program_3697              25          8     5
364    program_435              38         29    15
365   program_4115               0        114     2
366   program_4319               0         90     2
367   program_1034              24          4     4
368   program_5752               0          0     1
369   program_1448              28          0     0
370   program_7317               6          0     0
371   program_5863              15          1     0
372   program_2650              24         26    15
373   program_9093              20          7     1
374   program_2696              15          3     0
375   program_4284              33          5     1
376    program_823               0        136     3
377   program_6308              18          5     2
378   program_7765              20          6     4
379   program_1645              32          8     0
380   program_2259              38          0     0
381   program_8652               8         31    13
382   program_8935               2         44     8
383   program_2889              25         13     9
384   program_6984               0        139     6
385   program_9382               2        207     6
386   program_7006               3        426    13
387   program_3505               1        319     2
388   program_9469              10          4     2
389   program_9250               6          1     0
390   program_7185              27          2     0
391   program_8771               0         43     2
392   program_8680               0         85     3
393   program_2603               7         41    19
394   program_8261               0         12     6
395   program_4448              11          2     0
396   program_7079               0        131    14
397   program_7400              15          0     0
398   program_9493              13          0     0
399   program_7947              21         35    11
400    program_749              19          0     0
401   program_9234               0        269     2
402   program_9162               2        253     9
403   program_2262              16          8     2
404   program_3832              16        361    22
405   program_6466              42         11     6
406    program_921              14         10     2
407   program_4127              11        180    10
408   program_8688               0        104     3
409   program_9348              37          0     0
410   program_1066               5         53     3
411   program_6183              19        987    22
412   program_3416               0         52     2
413   program_5692              20          0     0
414    program_298               8          3     1
415   program_2141               4         75    12
416   program_8914              25          3     1
417    program_742               0        121     5
418   program_4123               0        126     2
419   program_5778              36          9     2
420   program_3877              19          2     0
421   program_2380               7          0     0
422   program_4076               0        137     2
423   program_6514               0         40     2
424   program_9726               0        107     3
425   program_2752              23        135    10
426   program_8707               0          0     1
427   program_4797              21          9     7
428   program_3642              27         13     7
429   program_4766               0        175     2
430   program_7034              25         13     1
431   program_1711               5          5    13
432   program_3031               0        104     2
433   program_3171               0         96     2
434   program_7072              30          2     1
435   program_3315              12         11     0
436   program_5768               1         85     5
437    program_349               2          3     5
438   program_7035               9         11     3
439    program_478               7          0     0
440   program_3007               5         62     5
441    program_963               5        206     5
442    program_357               0        104     2
443   program_4926               2         17     3
444   program_6915              63          9     3
445   program_3380               3         66    13
446   program_3861               9          4     0
447   program_6521               0        324     2
448   program_4420               5         82    11
449   program_4948              18          6     0
450   program_6014               0        214     2
451   program_2463               7          7     3
452   program_7169              20          5     0
453   program_5608               0        167     2
454   program_7890               8          1     2
455   program_5575              13          4     3
456   program_4901               0         10     4
457   program_4967              29          0     0
458   program_5869              24          5     0
459   program_9897               1        121     3
460   program_5269               0         71    10
461   program_5271              11        103     7
462   program_2064               9          3    10
463   program_9760               4        130     9
464   program_5527              12          0     0
465   program_2139               0         78     2
466   program_3726               0         57     5
467   program_8958               0         16     2
468   program_5870              14          5     0
469   program_4338              12         19     4
470   program_2594              25         10     5
