,GCC_O0,GCC_O1,GCC_O2,GCC_O3,LLVM_O0,LLVM_O1,LLVM_O2,LLVM_O3
1020,"{'nodes': 888, 'edges': 1443}","{'nodes': 174, 'edges': 308}","{'nodes': 7, 'edges': 6}","{'nodes': 7, 'edges': 6}","{'nodes': 855, 'edges': 1379}","{'nodes': 18, 'edges': 23}","{'nodes': 7, 'edges': 6}","{'nodes': 7, 'edges': 6}"
1021,"{'nodes': 538, 'edges': 832}","{'nodes': 9, 'edges': 10}","{'nodes': 9, 'edges': 10}","{'nodes': 9, 'edges': 10}","{'nodes': 640, 'edges': 997}","{'nodes': 9, 'edges': 10}","{'nodes': 9, 'edges': 10}","{'nodes': 9, 'edges': 10}"
1022,"{'nodes': 60, 'edges': 90}","{'nodes': 14, 'edges': 20}","{'nodes': 13, 'edges': 17}","{'nodes': 13, 'edges': 17}","{'nodes': 59, 'edges': 89}","{'nodes': 9, 'edges': 10}","{'nodes': 9, 'edges': 10}","{'nodes': 9, 'edges': 10}"
1023,"{'nodes': 672, 'edges': 1025}","{'nodes': 9, 'edges': 10}","{'nodes': 9, 'edges': 10}","{'nodes': 9, 'edges': 10}","{'nodes': 703, 'edges': 1069}","{'nodes': 9, 'edges': 10}","{'nodes': 9, 'edges': 10}","{'nodes': 9, 'edges': 10}"
1024,"{'nodes': 2446, 'edges': 3807}","{'nodes': 150, 'edges': 263}","{'nodes': 7, 'edges': 6}","{'nodes': 7, 'edges': 6}","{'nodes': 2237, 'edges': 3474}","{'nodes': 20, 'edges': 27}","{'nodes': 7, 'edges': 6}","{'nodes': 7, 'edges': 6}"
1025,"{'nodes': 15, 'edges': 19}","{'nodes': 9, 'edges': 10}","{'nodes': 9, 'edges': 10}","{'nodes': 9, 'edges': 10}","{'nodes': 15, 'edges': 19}","{'nodes': 9, 'edges': 10}","{'nodes': 9, 'edges': 10}","{'nodes': 9, 'edges': 10}"
1026,"{'nodes': 794, 'edges': 1264}","{'nodes': 187, 'edges': 330}","{'nodes': 6, 'edges': 5}","{'nodes': 6, 'edges': 5}","{'nodes': 819, 'edges': 1301}","{'nodes': 26, 'edges': 37}","{'nodes': 7, 'edges': 6}","{'nodes': 7, 'edges': 6}"
1027,"{'nodes': 802, 'edges': 1243}","{'nodes': 114, 'edges': 198}","{'nodes': 7, 'edges': 6}","{'nodes': 7, 'edges': 6}","{'nodes': 786, 'edges': 1218}","{'nodes': 16, 'edges': 21}","{'nodes': 7, 'edges': 6}","{'nodes': 7, 'edges': 6}"
1028,"{'nodes': 2859, 'edges': 4380}","{'nodes': 9, 'edges': 10}","{'nodes': 9, 'edges': 10}","{'nodes': 9, 'edges': 10}","{'nodes': 2851, 'edges': 4376}","{'nodes': 9, 'edges': 10}","{'nodes': 9, 'edges': 10}","{'nodes': 9, 'edges': 10}"
1029,"{'nodes': 653, 'edges': 1013}","{'nodes': 83, 'edges': 142}","{'nodes': 7, 'edges': 6}","{'nodes': 7, 'edges': 6}","{'nodes': 688, 'edges': 1061}","{'nodes': 21, 'edges': 28}","{'nodes': 7, 'edges': 6}","{'nodes': 7, 'edges': 6}"
1030,"{'nodes': 84, 'edges': 124}","{'nodes': 13, 'edges': 18}","{'nodes': 9, 'edges': 10}","{'nodes': 9, 'edges': 10}","{'nodes': 91, 'edges': 133}","{'nodes': 9, 'edges': 10}","{'nodes': 9, 'edges': 10}","{'nodes': 9, 'edges': 10}"
1031,"{'nodes': 2294, 'edges': 3573}","{'nodes': 125, 'edges': 222}","{'nodes': 7, 'edges': 6}","{'nodes': 7, 'edges': 6}","{'nodes': 2244, 'edges': 3487}","{'nodes': 16, 'edges': 21}","{'nodes': 7, 'edges': 6}","{'nodes': 7, 'edges': 6}"
1032,"{'nodes': 2047, 'edges': 3167}","{'nodes': 244, 'edges': 448}","{'nodes': 7, 'edges': 6}","{'nodes': 7, 'edges': 6}","{'nodes': 2134, 'edges': 3313}","{'nodes': 21, 'edges': 26}","{'nodes': 7, 'edges': 6}","{'nodes': 7, 'edges': 6}"
1033,"{'nodes': 23, 'edges': 32}","{'nodes': 11, 'edges': 14}","{'nodes': 11, 'edges': 14}","{'nodes': 11, 'edges': 14}","{'nodes': 26, 'edges': 36}","{'nodes': 11, 'edges': 14}","{'nodes': 9, 'edges': 10}","{'nodes': 9, 'edges': 10}"
1034,"{'nodes': 51, 'edges': 74}","{'nodes': 9, 'edges': 10}","{'nodes': 9, 'edges': 10}","{'nodes': 9, 'edges': 10}","{'nodes': 45, 'edges': 64}","{'nodes': 9, 'edges': 10}","{'nodes': 9, 'edges': 10}","{'nodes': 9, 'edges': 10}"
1035,"{'nodes': 85, 'edges': 127}","{'nodes': 22, 'edges': 30}","{'nodes': 20, 'edges': 26}","{'nodes': 20, 'edges': 26}","{'nodes': 81, 'edges': 120}","{'nodes': 20, 'edges': 25}","{'nodes': 17, 'edges': 21}","{'nodes': 17, 'edges': 21}"
1036,"{'nodes': 39, 'edges': 59}","{'nodes': 16, 'edges': 24}","{'nodes': 17, 'edges': 26}","{'nodes': 10, 'edges': 11}","{'nodes': 47, 'edges': 68}","{'nodes': 17, 'edges': 26}","{'nodes': 10, 'edges': 11}","{'nodes': 10, 'edges': 11}"
